"UnionTerritories","Year","Quarter","District","Registered_User"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","daman district","155029"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","dadra and nagar haveli district","254577"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","diu district","15811"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","daman district","163861"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","dadra and nagar haveli district","269344"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","diu district","16665"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","daman district","173219"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","dadra and nagar haveli district","284923"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","diu district","17427"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","daman district","182481"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","dadra and nagar haveli district","300217"
"delhi","2018","1","south district","156706"
"delhi","2018","1","central district","202723"
"delhi","2018","1","new delhi district","212008"
"delhi","2018","1","west district","308558"
"delhi","2018","1","south west district","179197"
"delhi","2018","1","south east delhi district","251213"
"delhi","2018","1","shahdara district","114549"
"delhi","2018","1","north east district","95472"
"delhi","2018","1","east district","169295"
"delhi","2018","1","north west district","223679"
"delhi","2018","1","north district","173622"
"delhi","2018","2","south district","206935"
"delhi","2018","2","central district","267154"
"delhi","2018","2","new delhi district","282319"
"delhi","2018","2","west district","406877"
"delhi","2018","2","south west district","236789"
"delhi","2018","2","south east delhi district","333350"
"delhi","2018","2","shahdara district","152113"
"delhi","2018","2","north east district","127159"
"delhi","2018","2","east district","221449"
"delhi","2018","2","north west district","294038"
"delhi","2018","2","north district","227958"
"delhi","2018","3","south district","264628"
"delhi","2018","3","central district","340549"
"delhi","2018","3","new delhi district","363140"
"delhi","2018","3","west district","515854"
"delhi","2018","3","south west district","297663"
"delhi","2018","3","south east delhi district","423177"
"delhi","2018","3","shahdara district","192430"
"delhi","2018","3","north east district","159566"
"delhi","2018","3","east district","280847"
"delhi","2018","3","north west district","376806"
"delhi","2018","3","north district","290251"
"delhi","2018","4","south district","344311"
"delhi","2018","4","central district","446787"
"delhi","2018","4","new delhi district","470991"
"delhi","2018","4","west district","686653"
"delhi","2018","4","south west district","393208"
"delhi","2018","4","south east delhi district","564640"
"delhi","2018","4","shahdara district","257785"
"delhi","2018","4","north east district","216694"
"delhi","2018","4","east district","373139"
"delhi","2018","4","north west district","496928"
"delhi","2018","4","north district","379177"
"delhi","2019","1","south district","407519"
"delhi","2019","1","central district","529918"
"delhi","2019","1","new delhi district","558516"
"delhi","2019","1","west district","820526"
"delhi","2019","1","south west district","467571"
"delhi","2019","1","south east delhi district","671667"
"delhi","2019","1","shahdara district","310351"
"delhi","2019","1","north east district","262131"
"delhi","2019","1","east district","439639"
"delhi","2019","1","north west district","583438"
"delhi","2019","1","north district","447987"
"delhi","2019","2","south district","453829"
"delhi","2019","2","central district","596940"
"delhi","2019","2","new delhi district","637526"
"delhi","2019","2","west district","919096"
"delhi","2019","2","south west district","519422"
"delhi","2019","2","south east delhi district","749218"
"delhi","2019","2","shahdara district","352312"
"delhi","2019","2","north east district","298037"
"delhi","2019","2","east district","487121"
"delhi","2019","2","north west district","649377"
"delhi","2019","2","north district","502570"
"delhi","2019","3","south district","498200"
"delhi","2019","3","central district","658985"
"delhi","2019","3","new delhi district","705546"
"delhi","2019","3","west district","1008836"
"delhi","2019","3","south west district","567496"
"delhi","2019","3","south east delhi district","821304"
"delhi","2019","3","shahdara district","391827"
"delhi","2019","3","north east district","334361"
"delhi","2019","3","east district","532254"
"delhi","2019","3","north west district","709448"
"delhi","2019","3","north district","554029"
"delhi","2019","4","south district","533716"
"delhi","2019","4","central district","711015"
"delhi","2019","4","new delhi district","757888"
"delhi","2019","4","west district","1081496"
"delhi","2019","4","south west district","605482"
"delhi","2019","4","south east delhi district","883080"
"delhi","2019","4","shahdara district","425305"
"delhi","2019","4","north east district","366088"
"delhi","2019","4","east district","568283"
"delhi","2019","4","north west district","758620"
"delhi","2019","4","north district","598910"
"delhi","2020","1","south district","570329"
"delhi","2020","1","central district","765149"
"delhi","2020","1","new delhi district","810489"
"delhi","2020","1","west district","1160353"
"delhi","2020","1","south west district","644981"
"delhi","2020","1","south east delhi district","947535"
"delhi","2020","1","shahdara district","460186"
"delhi","2020","1","north east district","399504"
"delhi","2020","1","east district","604768"
"delhi","2020","1","north west district","814249"
"delhi","2020","1","north district","648654"
"delhi","2020","2","south district","608062"
"delhi","2020","2","central district","821609"
"delhi","2020","2","new delhi district","858515"
"delhi","2020","2","west district","1243875"
"delhi","2020","2","south west district","688199"
"delhi","2020","2","south east delhi district","1011931"
"delhi","2020","2","shahdara district","498710"
"delhi","2020","2","north east district","437601"
"delhi","2020","2","east district","641233"
"delhi","2020","2","north west district","877218"
"delhi","2020","2","north district","704186"
"delhi","2020","3","south district","651616"
"delhi","2020","3","central district","888536"
"delhi","2020","3","new delhi district","912051"
"delhi","2020","3","west district","1343895"
"delhi","2020","3","south west district","739034"
"delhi","2020","3","south east delhi district","1088989"
"delhi","2020","3","shahdara district","543831"
"delhi","2020","3","north east district","479924"
"delhi","2020","3","east district","685955"
"delhi","2020","3","north west district","946954"
"delhi","2020","3","north district","763389"
"delhi","2020","4","south district","699303"
"delhi","2020","4","central district","962750"
"delhi","2020","4","new delhi district","971715"
"delhi","2020","4","west district","1451042"
"delhi","2020","4","south west district","792331"
"delhi","2020","4","south east delhi district","1174221"
"delhi","2020","4","shahdara district","591192"
"delhi","2020","4","north east district","525117"
"delhi","2020","4","east district","734091"
"delhi","2020","4","north west district","1019187"
"delhi","2020","4","north district","827019"
"delhi","2021","1","south district","749173"
"delhi","2021","1","central district","1035060"
"delhi","2021","1","new delhi district","1039016"
"delhi","2021","1","west district","1559112"
"delhi","2021","1","south west district","849223"
"delhi","2021","1","south east delhi district","1260645"
"delhi","2021","1","shahdara district","636908"
"delhi","2021","1","north east district","567107"
"delhi","2021","1","east district","786308"
"delhi","2021","1","north west district","1094464"
"delhi","2021","1","north district","890194"
"delhi","2021","2","south district","799590"
"delhi","2021","2","central district","1105640"
"delhi","2021","2","new delhi district","1108471"
"delhi","2021","2","west district","1666267"
"delhi","2021","2","south west district","906878"
"delhi","2021","2","south east delhi district","1346063"
"delhi","2021","2","shahdara district","681073"
"delhi","2021","2","north east district","607021"
"delhi","2021","2","east district","839185"
"delhi","2021","2","north west district","1170137"
"delhi","2021","2","north district","952374"
"delhi","2021","3","south district","855177"
"delhi","2021","3","central district","1184217"
"delhi","2021","3","new delhi district","1185588"
"delhi","2021","3","west district","1785309"
"delhi","2021","3","south west district","971552"
"delhi","2021","3","south east delhi district","1441462"
"delhi","2021","3","shahdara district","730209"
"delhi","2021","3","north east district","651695"
"delhi","2021","3","east district","898137"
"delhi","2021","3","north west district","1254464"
"delhi","2021","3","north district","1022251"
"delhi","2021","4","south district","911399"
"delhi","2021","4","central district","1263911"
"delhi","2021","4","new delhi district","1263818"
"delhi","2021","4","west district","1905278"
"delhi","2021","4","south west district","1036466"
"delhi","2021","4","south east delhi district","1537814"
"delhi","2021","4","shahdara district","779798"
"delhi","2021","4","north east district","696743"
"delhi","2021","4","east district","957392"
"delhi","2021","4","north west district","1339480"
"delhi","2021","4","north district","1093028"
"delhi","2022","1","south district","963775"
"delhi","2022","1","central district","1338465"
"delhi","2022","1","new delhi district","1336911"
"delhi","2022","1","west district","2017435"
"delhi","2022","1","south west district","1097016"
"delhi","2022","1","south east delhi district","1628157"
"delhi","2022","1","shahdara district","826148"
"delhi","2022","1","north east district","739301"
"delhi","2022","1","east district","1013024"
"delhi","2022","1","north west district","1419688"
"delhi","2022","1","north district","1159277"
"delhi","2022","2","south district","1013938"
"delhi","2022","2","central district","1409776"
"delhi","2022","2","new delhi district","1406687"
"delhi","2022","2","west district","2124626"
"delhi","2022","2","south west district","1155288"
"delhi","2022","2","south east delhi district","1714507"
"delhi","2022","2","shahdara district","870461"
"delhi","2022","2","north east district","779621"
"delhi","2022","2","east district","1066632"
"delhi","2022","2","north west district","1496002"
"delhi","2022","2","north district","1222605"
"delhi","2022","3","south district","1065631"
"delhi","2022","3","central district","1483786"
"delhi","2022","3","new delhi district","1479669"
"delhi","2022","3","west district","2235907"
"delhi","2022","3","south west district","1215697"
"delhi","2022","3","south east delhi district","1804123"
"delhi","2022","3","shahdara district","917096"
"delhi","2022","3","north east district","822038"
"delhi","2022","3","east district","1121596"
"delhi","2022","3","north west district","1575473"
"delhi","2022","3","north district","1288507"
"delhi","2022","4","south district","1117981"
"delhi","2022","4","central district","1558400"
"delhi","2022","4","new delhi district","1552874"
"delhi","2022","4","west district","2348063"
"delhi","2022","4","south west district","1275864"
"delhi","2022","4","south east delhi district","1894776"
"delhi","2022","4","shahdara district","963656"
"delhi","2022","4","north east district","864990"
"delhi","2022","4","east district","1177294"
"delhi","2022","4","north west district","1655730"
"delhi","2022","4","north district","1354521"
"jammu-&-kashmir","2018","1","muzaffarabad district","41"
"jammu-&-kashmir","2018","1","doda district","2648"
"jammu-&-kashmir","2018","1","samba district","6534"
"jammu-&-kashmir","2018","1","mirpur district","544"
"jammu-&-kashmir","2018","1","srinagar district","18233"
"jammu-&-kashmir","2018","1","baramulla district","16299"
"jammu-&-kashmir","2018","1","jammu district","45294"
"jammu-&-kashmir","2018","1","ganderbal district","4117"
"jammu-&-kashmir","2018","1","udhampur district","8457"
"jammu-&-kashmir","2018","1","bandipore district","4609"
"jammu-&-kashmir","2018","1","reasi district","3583"
"jammu-&-kashmir","2018","1","shopian district","2537"
"jammu-&-kashmir","2018","1","poonch district","2539"
"jammu-&-kashmir","2018","1","kathua district","8039"
"jammu-&-kashmir","2018","1","kishtwar district","1298"
"jammu-&-kashmir","2018","1","pulwama district","8441"
"jammu-&-kashmir","2018","1","ramban district","1876"
"jammu-&-kashmir","2018","1","rajouri district","5232"
"jammu-&-kashmir","2018","1","kulgam district","5700"
"jammu-&-kashmir","2018","1","budgam district","11594"
"jammu-&-kashmir","2018","1","anantnag district","11556"
"jammu-&-kashmir","2018","1","kupwara district","7254"
"jammu-&-kashmir","2018","2","muzaffarabad district","57"
"jammu-&-kashmir","2018","2","doda district","4031"
"jammu-&-kashmir","2018","2","samba district","9601"
"jammu-&-kashmir","2018","2","mirpur district","795"
"jammu-&-kashmir","2018","2","srinagar district","27035"
"jammu-&-kashmir","2018","2","baramulla district","25870"
"jammu-&-kashmir","2018","2","jammu district","64681"
"jammu-&-kashmir","2018","2","ganderbal district","6212"
"jammu-&-kashmir","2018","2","udhampur district","12195"
"jammu-&-kashmir","2018","2","bandipore district","7527"
"jammu-&-kashmir","2018","2","reasi district","5168"
"jammu-&-kashmir","2018","2","shopian district","3522"
"jammu-&-kashmir","2018","2","poonch district","4152"
"jammu-&-kashmir","2018","2","kathua district","11778"
"jammu-&-kashmir","2018","2","kishtwar district","2006"
"jammu-&-kashmir","2018","2","pulwama district","12218"
"jammu-&-kashmir","2018","2","ramban district","2925"
"jammu-&-kashmir","2018","2","rajouri district","8035"
"jammu-&-kashmir","2018","2","kulgam district","8137"
"jammu-&-kashmir","2018","2","budgam district","17809"
"jammu-&-kashmir","2018","2","anantnag district","16373"
"jammu-&-kashmir","2018","2","kupwara district","11482"
"jammu-&-kashmir","2018","3","muzaffarabad district","89"
"jammu-&-kashmir","2018","3","doda district","5618"
"jammu-&-kashmir","2018","3","samba district","13304"
"jammu-&-kashmir","2018","3","mirpur district","1133"
"jammu-&-kashmir","2018","3","srinagar district","35583"
"jammu-&-kashmir","2018","3","baramulla district","31069"
"jammu-&-kashmir","2018","3","jammu district","86877"
"jammu-&-kashmir","2018","3","ganderbal district","7627"
"jammu-&-kashmir","2018","3","udhampur district","16058"
"jammu-&-kashmir","2018","3","bandipore district","8792"
"jammu-&-kashmir","2018","3","reasi district","7010"
"jammu-&-kashmir","2018","3","shopian district","4698"
"jammu-&-kashmir","2018","3","poonch district","6243"
"jammu-&-kashmir","2018","3","kathua district","15849"
"jammu-&-kashmir","2018","3","kishtwar district","2822"
"jammu-&-kashmir","2018","3","pulwama district","15427"
"jammu-&-kashmir","2018","3","ramban district","4202"
"jammu-&-kashmir","2018","3","rajouri district","11534"
"jammu-&-kashmir","2018","3","kulgam district","10305"
"jammu-&-kashmir","2018","3","budgam district","22301"
"jammu-&-kashmir","2018","3","anantnag district","20234"
"jammu-&-kashmir","2018","3","kupwara district","15754"
"jammu-&-kashmir","2018","4","muzaffarabad district","136"
"jammu-&-kashmir","2018","4","doda district","7669"
"jammu-&-kashmir","2018","4","samba district","17595"
"jammu-&-kashmir","2018","4","mirpur district","1515"
"jammu-&-kashmir","2018","4","srinagar district","44328"
"jammu-&-kashmir","2018","4","baramulla district","37661"
"jammu-&-kashmir","2018","4","jammu district","113005"
"jammu-&-kashmir","2018","4","ganderbal district","9327"
"jammu-&-kashmir","2018","4","udhampur district","21123"
"jammu-&-kashmir","2018","4","bandipore district","10397"
"jammu-&-kashmir","2018","4","reasi district","9290"
"jammu-&-kashmir","2018","4","shopian district","5919"
"jammu-&-kashmir","2018","4","poonch district","8555"
"jammu-&-kashmir","2018","4","kathua district","21030"
"jammu-&-kashmir","2018","4","kishtwar district","3753"
"jammu-&-kashmir","2018","4","pulwama district","18846"
"jammu-&-kashmir","2018","4","ramban district","5615"
"jammu-&-kashmir","2018","4","rajouri district","15661"
"jammu-&-kashmir","2018","4","kulgam district","12488"
"jammu-&-kashmir","2018","4","budgam district","27710"
"jammu-&-kashmir","2018","4","anantnag district","24448"
"jammu-&-kashmir","2018","4","kupwara district","20492"
"jammu-&-kashmir","2019","1","muzaffarabad district","170"
"jammu-&-kashmir","2019","1","doda district","9896"
"jammu-&-kashmir","2019","1","samba district","21495"
"jammu-&-kashmir","2019","1","mirpur district","1891"
"jammu-&-kashmir","2019","1","srinagar district","52762"
"jammu-&-kashmir","2019","1","baramulla district","45150"
"jammu-&-kashmir","2019","1","jammu district","134408"
"jammu-&-kashmir","2019","1","ganderbal district","11236"
"jammu-&-kashmir","2019","1","udhampur district","25515"
"jammu-&-kashmir","2019","1","bandipore district","12419"
"jammu-&-kashmir","2019","1","reasi district","11440"
"jammu-&-kashmir","2019","1","shopian district","7625"
"jammu-&-kashmir","2019","1","poonch district","10838"
"jammu-&-kashmir","2019","1","kathua district","25620"
"jammu-&-kashmir","2019","1","kishtwar district","4732"
"jammu-&-kashmir","2019","1","pulwama district","23230"
"jammu-&-kashmir","2019","1","ramban district","7125"
"jammu-&-kashmir","2019","1","rajouri district","19212"
"jammu-&-kashmir","2019","1","kulgam district","16003"
"jammu-&-kashmir","2019","1","budgam district","34255"
"jammu-&-kashmir","2019","1","anantnag district","30103"
"jammu-&-kashmir","2019","1","kupwara district","25544"
"jammu-&-kashmir","2019","2","muzaffarabad district","216"
"jammu-&-kashmir","2019","2","doda district","12220"
"jammu-&-kashmir","2019","2","samba district","25990"
"jammu-&-kashmir","2019","2","mirpur district","2250"
"jammu-&-kashmir","2019","2","srinagar district","62190"
"jammu-&-kashmir","2019","2","baramulla district","53196"
"jammu-&-kashmir","2019","2","jammu district","160241"
"jammu-&-kashmir","2019","2","ganderbal district","13224"
"jammu-&-kashmir","2019","2","udhampur district","29856"
"jammu-&-kashmir","2019","2","bandipore district","14951"
"jammu-&-kashmir","2019","2","reasi district","13784"
"jammu-&-kashmir","2019","2","shopian district","8946"
"jammu-&-kashmir","2019","2","poonch district","13450"
"jammu-&-kashmir","2019","2","kathua district","30602"
"jammu-&-kashmir","2019","2","kishtwar district","6001"
"jammu-&-kashmir","2019","2","pulwama district","27167"
"jammu-&-kashmir","2019","2","ramban district","8694"
"jammu-&-kashmir","2019","2","rajouri district","23118"
"jammu-&-kashmir","2019","2","kulgam district","18853"
"jammu-&-kashmir","2019","2","budgam district","39965"
"jammu-&-kashmir","2019","2","anantnag district","35488"
"jammu-&-kashmir","2019","2","kupwara district","30791"
"jammu-&-kashmir","2019","3","muzaffarabad district","207"
"jammu-&-kashmir","2019","3","doda district","12682"
"jammu-&-kashmir","2019","3","samba district","27579"
"jammu-&-kashmir","2019","3","mirpur district","2372"
"jammu-&-kashmir","2019","3","srinagar district","64758"
"jammu-&-kashmir","2019","3","baramulla district","54404"
"jammu-&-kashmir","2019","3","jammu district","169849"
"jammu-&-kashmir","2019","3","ganderbal district","13453"
"jammu-&-kashmir","2019","3","udhampur district","31297"
"jammu-&-kashmir","2019","3","bandipore district","15313"
"jammu-&-kashmir","2019","3","reasi district","14489"
"jammu-&-kashmir","2019","3","shopian district","9142"
"jammu-&-kashmir","2019","3","poonch district","14139"
"jammu-&-kashmir","2019","3","kathua district","32213"
"jammu-&-kashmir","2019","3","kishtwar district","6229"
"jammu-&-kashmir","2019","3","pulwama district","27963"
"jammu-&-kashmir","2019","3","ramban district","9065"
"jammu-&-kashmir","2019","3","rajouri district","24275"
"jammu-&-kashmir","2019","3","kulgam district","19220"
"jammu-&-kashmir","2019","3","budgam district","41004"
"jammu-&-kashmir","2019","3","anantnag district","36371"
"jammu-&-kashmir","2019","3","kupwara district","32431"
"jammu-&-kashmir","2019","4","muzaffarabad district","223"
"jammu-&-kashmir","2019","4","doda district","13016"
"jammu-&-kashmir","2019","4","samba district","28333"
"jammu-&-kashmir","2019","4","mirpur district","2521"
"jammu-&-kashmir","2019","4","srinagar district","65611"
"jammu-&-kashmir","2019","4","baramulla district","55042"
"jammu-&-kashmir","2019","4","jammu district","174858"
"jammu-&-kashmir","2019","4","ganderbal district","13506"
"jammu-&-kashmir","2019","4","udhampur district","32252"
"jammu-&-kashmir","2019","4","bandipore district","15366"
"jammu-&-kashmir","2019","4","reasi district","15021"
"jammu-&-kashmir","2019","4","shopian district","9308"
"jammu-&-kashmir","2019","4","poonch district","14810"
"jammu-&-kashmir","2019","4","kathua district","33481"
"jammu-&-kashmir","2019","4","kishtwar district","6397"
"jammu-&-kashmir","2019","4","pulwama district","28336"
"jammu-&-kashmir","2019","4","ramban district","9304"
"jammu-&-kashmir","2019","4","rajouri district","25297"
"jammu-&-kashmir","2019","4","kulgam district","19304"
"jammu-&-kashmir","2019","4","budgam district","41377"
"jammu-&-kashmir","2019","4","anantnag district","36725"
"jammu-&-kashmir","2019","4","kupwara district","33279"
"jammu-&-kashmir","2020","1","muzaffarabad district","240"
"jammu-&-kashmir","2020","1","doda district","14537"
"jammu-&-kashmir","2020","1","samba district","31570"
"jammu-&-kashmir","2020","1","mirpur district","2835"
"jammu-&-kashmir","2020","1","srinagar district","70755"
"jammu-&-kashmir","2020","1","baramulla district","59123"
"jammu-&-kashmir","2020","1","jammu district","191031"
"jammu-&-kashmir","2020","1","ganderbal district","14573"
"jammu-&-kashmir","2020","1","udhampur district","35408"
"jammu-&-kashmir","2020","1","bandipore district","16451"
"jammu-&-kashmir","2020","1","reasi district","16592"
"jammu-&-kashmir","2020","1","shopian district","10313"
"jammu-&-kashmir","2020","1","poonch district","16495"
"jammu-&-kashmir","2020","1","kathua district","37300"
"jammu-&-kashmir","2020","1","kishtwar district","7124"
"jammu-&-kashmir","2020","1","pulwama district","30796"
"jammu-&-kashmir","2020","1","ramban district","10267"
"jammu-&-kashmir","2020","1","rajouri district","28089"
"jammu-&-kashmir","2020","1","kulgam district","21070"
"jammu-&-kashmir","2020","1","budgam district","44636"
"jammu-&-kashmir","2020","1","anantnag district","39513"
"jammu-&-kashmir","2020","1","kupwara district","36690"
"jammu-&-kashmir","2020","2","muzaffarabad district","266"
"jammu-&-kashmir","2020","2","doda district","17896"
"jammu-&-kashmir","2020","2","samba district","37600"
"jammu-&-kashmir","2020","2","mirpur district","3522"
"jammu-&-kashmir","2020","2","srinagar district","78458"
"jammu-&-kashmir","2020","2","baramulla district","66095"
"jammu-&-kashmir","2020","2","jammu district","220805"
"jammu-&-kashmir","2020","2","ganderbal district","16213"
"jammu-&-kashmir","2020","2","udhampur district","41813"
"jammu-&-kashmir","2020","2","bandipore district","18357"
"jammu-&-kashmir","2020","2","reasi district","19514"
"jammu-&-kashmir","2020","2","shopian district","11870"
"jammu-&-kashmir","2020","2","poonch district","19815"
"jammu-&-kashmir","2020","2","kathua district","44719"
"jammu-&-kashmir","2020","2","kishtwar district","8584"
"jammu-&-kashmir","2020","2","pulwama district","34565"
"jammu-&-kashmir","2020","2","ramban district","12068"
"jammu-&-kashmir","2020","2","rajouri district","33389"
"jammu-&-kashmir","2020","2","kulgam district","23505"
"jammu-&-kashmir","2020","2","budgam district","49962"
"jammu-&-kashmir","2020","2","anantnag district","44423"
"jammu-&-kashmir","2020","2","kupwara district","41855"
"jammu-&-kashmir","2020","3","muzaffarabad district","304"
"jammu-&-kashmir","2020","3","doda district","20833"
"jammu-&-kashmir","2020","3","samba district","42915"
"jammu-&-kashmir","2020","3","mirpur district","4128"
"jammu-&-kashmir","2020","3","srinagar district","87182"
"jammu-&-kashmir","2020","3","baramulla district","73162"
"jammu-&-kashmir","2020","3","jammu district","248814"
"jammu-&-kashmir","2020","3","ganderbal district","18259"
"jammu-&-kashmir","2020","3","udhampur district","47399"
"jammu-&-kashmir","2020","3","bandipore district","20153"
"jammu-&-kashmir","2020","3","reasi district","22063"
"jammu-&-kashmir","2020","3","shopian district","13294"
"jammu-&-kashmir","2020","3","poonch district","22704"
"jammu-&-kashmir","2020","3","kathua district","50914"
"jammu-&-kashmir","2020","3","kishtwar district","9745"
"jammu-&-kashmir","2020","3","pulwama district","38434"
"jammu-&-kashmir","2020","3","ramban district","13674"
"jammu-&-kashmir","2020","3","rajouri district","38071"
"jammu-&-kashmir","2020","3","kulgam district","25887"
"jammu-&-kashmir","2020","3","budgam district","55153"
"jammu-&-kashmir","2020","3","anantnag district","49443"
"jammu-&-kashmir","2020","3","kupwara district","47288"
"jammu-&-kashmir","2020","4","muzaffarabad district","339"
"jammu-&-kashmir","2020","4","doda district","24095"
"jammu-&-kashmir","2020","4","samba district","48775"
"jammu-&-kashmir","2020","4","mirpur district","4799"
"jammu-&-kashmir","2020","4","srinagar district","98923"
"jammu-&-kashmir","2020","4","baramulla district","83119"
"jammu-&-kashmir","2020","4","jammu district","282463"
"jammu-&-kashmir","2020","4","ganderbal district","20465"
"jammu-&-kashmir","2020","4","udhampur district","53803"
"jammu-&-kashmir","2020","4","bandipore district","22721"
"jammu-&-kashmir","2020","4","reasi district","25147"
"jammu-&-kashmir","2020","4","shopian district","15234"
"jammu-&-kashmir","2020","4","poonch district","26045"
"jammu-&-kashmir","2020","4","kathua district","57651"
"jammu-&-kashmir","2020","4","kishtwar district","11233"
"jammu-&-kashmir","2020","4","pulwama district","43139"
"jammu-&-kashmir","2020","4","ramban district","15548"
"jammu-&-kashmir","2020","4","rajouri district","43240"
"jammu-&-kashmir","2020","4","kulgam district","29261"
"jammu-&-kashmir","2020","4","budgam district","62364"
"jammu-&-kashmir","2020","4","anantnag district","56211"
"jammu-&-kashmir","2020","4","kupwara district","54447"
"jammu-&-kashmir","2021","1","muzaffarabad district","377"
"jammu-&-kashmir","2021","1","doda district","26460"
"jammu-&-kashmir","2021","1","samba district","53123"
"jammu-&-kashmir","2021","1","mirpur district","5198"
"jammu-&-kashmir","2021","1","srinagar district","107147"
"jammu-&-kashmir","2021","1","baramulla district","90607"
"jammu-&-kashmir","2021","1","jammu district","307670"
"jammu-&-kashmir","2021","1","ganderbal district","22249"
"jammu-&-kashmir","2021","1","udhampur district","58664"
"jammu-&-kashmir","2021","1","bandipore district","24662"
"jammu-&-kashmir","2021","1","reasi district","27524"
"jammu-&-kashmir","2021","1","shopian district","16657"
"jammu-&-kashmir","2021","1","poonch district","28300"
"jammu-&-kashmir","2021","1","kathua district","62777"
"jammu-&-kashmir","2021","1","kishtwar district","12235"
"jammu-&-kashmir","2021","1","pulwama district","46731"
"jammu-&-kashmir","2021","1","ramban district","16907"
"jammu-&-kashmir","2021","1","rajouri district","47092"
"jammu-&-kashmir","2021","1","kulgam district","31882"
"jammu-&-kashmir","2021","1","budgam district","67920"
"jammu-&-kashmir","2021","1","anantnag district","61151"
"jammu-&-kashmir","2021","1","kupwara district","59485"
"jammu-&-kashmir","2021","2","muzaffarabad district","416"
"jammu-&-kashmir","2021","2","doda district","28542"
"jammu-&-kashmir","2021","2","samba district","57066"
"jammu-&-kashmir","2021","2","mirpur district","5662"
"jammu-&-kashmir","2021","2","srinagar district","114498"
"jammu-&-kashmir","2021","2","baramulla district","97258"
"jammu-&-kashmir","2021","2","jammu district","329625"
"jammu-&-kashmir","2021","2","ganderbal district","23884"
"jammu-&-kashmir","2021","2","udhampur district","63296"
"jammu-&-kashmir","2021","2","bandipore district","26435"
"jammu-&-kashmir","2021","2","reasi district","29716"
"jammu-&-kashmir","2021","2","shopian district","17933"
"jammu-&-kashmir","2021","2","poonch district","30575"
"jammu-&-kashmir","2021","2","kathua district","67569"
"jammu-&-kashmir","2021","2","kishtwar district","13206"
"jammu-&-kashmir","2021","2","pulwama district","50038"
"jammu-&-kashmir","2021","2","ramban district","18253"
"jammu-&-kashmir","2021","2","rajouri district","50772"
"jammu-&-kashmir","2021","2","kulgam district","34224"
"jammu-&-kashmir","2021","2","budgam district","72750"
"jammu-&-kashmir","2021","2","anantnag district","65592"
"jammu-&-kashmir","2021","2","kupwara district","63957"
"jammu-&-kashmir","2021","3","muzaffarabad district","454"
"jammu-&-kashmir","2021","3","doda district","30988"
"jammu-&-kashmir","2021","3","samba district","61677"
"jammu-&-kashmir","2021","3","mirpur district","6201"
"jammu-&-kashmir","2021","3","srinagar district","122752"
"jammu-&-kashmir","2021","3","baramulla district","104763"
"jammu-&-kashmir","2021","3","jammu district","354280"
"jammu-&-kashmir","2021","3","ganderbal district","25735"
"jammu-&-kashmir","2021","3","udhampur district","68452"
"jammu-&-kashmir","2021","3","bandipore district","28469"
"jammu-&-kashmir","2021","3","reasi district","32275"
"jammu-&-kashmir","2021","3","shopian district","19343"
"jammu-&-kashmir","2021","3","poonch district","33277"
"jammu-&-kashmir","2021","3","kathua district","73280"
"jammu-&-kashmir","2021","3","kishtwar district","14320"
"jammu-&-kashmir","2021","3","pulwama district","53876"
"jammu-&-kashmir","2021","3","ramban district","19751"
"jammu-&-kashmir","2021","3","rajouri district","55013"
"jammu-&-kashmir","2021","3","kulgam district","36921"
"jammu-&-kashmir","2021","3","budgam district","78298"
"jammu-&-kashmir","2021","3","anantnag district","70633"
"jammu-&-kashmir","2021","3","kupwara district","69102"
"jammu-&-kashmir","2021","4","muzaffarabad district","506"
"jammu-&-kashmir","2021","4","doda district","33427"
"jammu-&-kashmir","2021","4","samba district","66057"
"jammu-&-kashmir","2021","4","mirpur district","6709"
"jammu-&-kashmir","2021","4","srinagar district","130968"
"jammu-&-kashmir","2021","4","baramulla district","112175"
"jammu-&-kashmir","2021","4","jammu district","378618"
"jammu-&-kashmir","2021","4","ganderbal district","27599"
"jammu-&-kashmir","2021","4","udhampur district","73525"
"jammu-&-kashmir","2021","4","bandipore district","30502"
"jammu-&-kashmir","2021","4","reasi district","34767"
"jammu-&-kashmir","2021","4","shopian district","20780"
"jammu-&-kashmir","2021","4","poonch district","35913"
"jammu-&-kashmir","2021","4","kathua district","78693"
"jammu-&-kashmir","2021","4","kishtwar district","15389"
"jammu-&-kashmir","2021","4","pulwama district","57630"
"jammu-&-kashmir","2021","4","ramban district","21283"
"jammu-&-kashmir","2021","4","rajouri district","59304"
"jammu-&-kashmir","2021","4","kulgam district","39481"
"jammu-&-kashmir","2021","4","budgam district","83726"
"jammu-&-kashmir","2021","4","anantnag district","75622"
"jammu-&-kashmir","2021","4","kupwara district","74136"
"jammu-&-kashmir","2022","1","muzaffarabad district","540"
"jammu-&-kashmir","2022","1","doda district","35680"
